SRM,610,612
Be,476,37.5
B,350,34.3
F,304,80
Mg,432,68
P,413,46.6
S,575,377
Cl,274,142
K,464,62.3
Sc,455,39.9
Ti,452,44
V,450,38.8
Cr,408,36.4
Mn,444,38.7
Fe,458,51
Co,410,35.5
Ni,458.7,38.8
Cu,441,37.8
Zn,460,39.1
Ga,433,36.9
Ge,447,36.1
As,325,35.7
Se,138,16.3
Rb,425.7,31.4
Sr,515.5,78.4
Y,462,38.3
Zr,448,37.9
Nb,465,38.9
Mo,417,37.4
Rh,1.29,0.91
Pd,1.21,1.05
Ag,251,22
Cd,270,28.1
In,434,38.9
Sn,430,38.6
Sb,396,34.7
Cs,366,42.7
Ba,452,39.3
La,440,36
Ce,453,38.4
Pr,448,37.9
Nd,430,35.5
Sm,453,37.7
Eu,447,35.6
Gd,449,37.3
Tb,437,37.6
Dy,437,35.5
Ho,449,38.3
Er,455,38
Tm,435,36.8
Yb,450,39.2
Lu,439,37
Hf,435,36.7
Ta,446,37.6
W,444,38
Re,49.9,6.63
Pt,3.12,2.51
Au,23.6,4.77
Tl,59.6,14.9
Pb,426,38.57
Bi,384,30.2
Th,457.2,37.79
U,461.5,37.38
